Slur found: neck o	Phonicated: NAKA   	Context:  our neck of the
Slur found: n Kr	Phonicated: NKR   	Context: ney on Krabby 
Slur found: nagr	Phonicated: NAKR   	Context:  in anagrams o
Slur found: nagr	Phonicated: NAKR   	Context:  to anagrams o
Slur found: Specifically, it	Phonicated: SPASAFAKAT   	Context: rty. Specifically, it chan
Slur found: nagr	Phonicated: NAKR   	Context: ty: Anagrams o
Slur found: nagr	Phonicated: NAKR   	Context:  in anagrams!
Slur found: n' ca	Phonicated: NKA   	Context: fuckin' can't.
Slur found: n qu	Phonicated: NKA   	Context: ode on quantum
Slur found: n. Go	Phonicated: NKA   	Context: urgeon. Got you
Slur found: n ca	Phonicated: NKA   	Context: nction calls i
Slur found: n job	Phonicated: NJAP   	Context:  human jobs.
Slur found: n. Co	Phonicated: NKA   	Context: y then. Come on
Slur found: f you get	Phonicated: FAKAT   	Context: nly if you get caug
Slur found: n go	Phonicated: NKA   	Context: all in good fu
Slur found: na ge	Phonicated: NAKA   	Context: e gonna get.
Slur found: f we get	Phonicated: FAKAT   	Context: But if we get caug
Slur found: Now ge	Phonicated: NAKA   	Context: why! Now get out
Slur found: ny charac	Phonicated: NAKARAK   	Context: ith any character i
Slur found: n charac	Phonicated: NKARAK   	Context: artoon characters.
Slur found: n ca	Phonicated: NKA   	Context: r even cartooN
