Slur found: ny cr	Phonicated: NAKR   	Context: ust any cream p
Slur found: n a ca	Phonicated: NAKA   	Context: 're in a cartoon
Slur found: ave a cat	Phonicated: AFAKAT   	Context: nly have a cat and 
Slur found: f I get	Phonicated: FAKAT   	Context: But if I get hear
Slur found: n' ke	Phonicated: NKA   	Context: rickin' keyboar
Slur found: view get	Phonicated: FAKAT   	Context: ad review get to u
Slur found: n Joh	Phonicated: NJA   	Context: catman John
Slur found: n Joh	Phonicated: NJA   	Context: catman John.
Slur found: n ico	Phonicated: NAKA   	Context: t's an iconic s
Slur found: n gr	Phonicated: NKR   	Context: son on grammar
Slur found: n a cr	Phonicated: NAKR   	Context: ing on a crap to
Slur found: ng a	Phonicated: NKA   	Context: t young and na
Slur found: Now ge	Phonicated: NAKA   	Context: eed. Now get out
Slur found: n co	Phonicated: NKA   	Context: ur own console
Slur found: new ki	Phonicated: NAKA   	Context: ed a new kind of
Slur found: Now, ge	Phonicated: NAKA   	Context: ick. Now, get out
Slur found: important. We ca	Phonicated: AMPARTANAKA   	Context: it's important. We can't j
Slur found: f I get	Phonicated: FAKAT   	Context: But if I get stuc
Slur found: na go	Phonicated: NAKA   	Context: m gonna go lie 
Slur found: n 59 co	Phonicated: NKA   	Context: ers in 59 countri
Slur found: N co	Phonicated: NKA   	Context: ordVPN comes i
