Slur found: for kid	Phonicated: FARKAT   	Context: just for kids, Ri
Slur found: n ga	Phonicated: NKA   	Context:  a fun game.
Slur found: nukes	Phonicated: NAKS   	Context: Rick nukes mexi
Slur found: nuked.	Phonicated: NAKAT   	Context: n we nuked.
Slur found: n, co	Phonicated: NKA   	Context: ing on, cover y
Slur found: n co	Phonicated: NKA   	Context: artoon convent
Slur found: n ca	Phonicated: NKA   	Context: e been catfish
Slur found: f a cut	Phonicated: FAKAT   	Context: ure of a cute cat
Slur found: n ca	Phonicated: NKA   	Context: e been catfish
Slur found: n co	Phonicated: NKA   	Context: common commodi
Slur found: Now, go	Phonicated: NAKA   	Context: rty. Now, go grab
Slur found: n, we ki	Phonicated: NAKA   	Context: Listen, we kinda n
Slur found: shake it	Phonicated: XAKAT   	Context: et's shake it up a
Slur found: n charac	Phonicated: NKARAK   	Context: artoon characters.
Slur found: n, oka	Phonicated: NAKA   	Context: artoon, okay?
Slur found: n you co	Phonicated: NAKA   	Context: t when you could b
Slur found: nic o	Phonicated: NAKA   	Context: er panic or we 
Slur found: n co	Phonicated: NKA   	Context: s been control
Slur found: ny go	Phonicated: NAKA   	Context: ol! Any good on
Slur found: ncr	Phonicated: NKR   	Context:  is incredibl
Slur found: ny cr	Phonicated: NAKR   	Context: ave any crack h
