Slur found: oxygen-infused gu	Phonicated: AKSAJANAKA   	Context: some oxygen-infused gum. No
Slur found: nco	Phonicated: NKA   	Context: ars uncontrol
Slur found: nique R	Phonicated: NAKR   	Context:  Simonique Rose
Slur found: n ogr	Phonicated: NAKR   	Context: . Even ogres ca
Slur found: Now, ge	Phonicated: NAKA   	Context: ful. Now, get out
Slur found: multiverse could	Phonicated: MALTAFARKAT   	Context: tire multiverse could be f
Slur found: f a god	Phonicated: FAKAT   	Context: ace of a god. It'
Slur found: n ogr	Phonicated: NAKR   	Context: top an ogre fro
Slur found: necr	Phonicated: NAKR   	Context: te Minecraft
Slur found: necr	Phonicated: NAKR   	Context: te Minecraft, 
Slur found: necr	Phonicated: NAKR   	Context: te Minecraft? 
Slur found: necr	Phonicated: NAKR   	Context: ve Minecraft. 
Slur found: necr	Phonicated: NAKR   	Context: ve Minecraft f
Slur found: n ga	Phonicated: NKA   	Context: ert on game en
Slur found: n a ga	Phonicated: NAKA   	Context: war on a game en
Slur found: n ki	Phonicated: NKA   	Context: s been kidnapp
Slur found: n ge	Phonicated: NKA   	Context: e been getting
Slur found: n. Ca	Phonicated: NKA   	Context:  again. Can't I
Slur found: nja	Phonicated: NJA   	Context: y: Ninja Code
Slur found: f we get	Phonicated: FAKAT   	Context: hat if we get caug
Slur found: Now gr	Phonicated: NAKR   	Context: rse. Now grab yo
