Slur found: f we could	Phonicated: FAKAT   	Context: hat if we could expl
Slur found: n, I ca	Phonicated: NAKA   	Context: I mean, I can't j
Slur found: Now, gr	Phonicated: NAKR   	Context: job. Now, grab th
Slur found: n ogr	Phonicated: NAKR   	Context:  of an ogre.
Slur found: n ogr	Phonicated: NAKR   	Context: ty: An ogre? Li
Slur found: f you could	Phonicated: FAKAT   	Context: So, if you could keep
Slur found: n' cr	Phonicated: NKR   	Context: rickin' crazy, 
Slur found: Now ge	Phonicated: NAKA   	Context: ard. Now get out
Slur found: nugi	Phonicated: NAJA   	Context: ikun nugitz
Slur found: n go	Phonicated: NKA   	Context: : Even gods ca
Slur found: Now ge	Phonicated: NAKA   	Context: ood. Now get out
Slur found: na ke	Phonicated: NAKA   	Context: e gonna keep go
Slur found: n go	Phonicated: NKA   	Context: s been going o
Slur found: nugi	Phonicated: NAJA   	Context: ikun nugitz
Slur found: n go	Phonicated: NKA   	Context: all in good fu
Slur found: n charac	Phonicated: NKARAK   	Context: tay in character! 
Slur found: hermodynamics. You go	Phonicated: HARMATANAKA   	Context:  of thermodynamics. You got a p
Slur found: n ge	Phonicated: NKA   	Context: t even get me 
Slur found: Now, ge	Phonicated: NAKA   	Context:  me. Now, get out
Slur found: n away? Go	Phonicated: NAKA   	Context: st run away? Go to a
Slur found: nugi	Phonicated: NAJA   	Context: ikun nugitz
